p0, 228, 102
p1, 220, 112
p2, 213, 135
p3, 189, 177
p4, 180, 202
p5, 166, 231
p6, 153, 257
p7, 138, 278
p8, 125, 300
p9, 116, 320
p10, 94, 369
p11, 104, 394
p12, 136, 409
p13, 171, 430
p14, 195, 438
p15, 221, 453
p16, 250, 462
p17, 283, 485
p18, 320, 505
p19, 342, 502
p20, 365, 475
p21, 320, 531
p22, 318, 561
p23, 439, 318
p24, 422, 344
p25, 412, 378
p26, 484, 233
p27, 504, 208
p28, 518, 175
p29, 516, 290
p30, 531, 299
p31, 588, 328
p32, 637, 352
p33, 657, 363
p34, 448, 409
p35, 464, 420
p36, 484, 428
p37, 491, 432
p38, 507, 438
p39, 548, 462
p40, 583, 480
p41, 302, 197
p42, 290, 188
p43, 297, 202
p44, 358, 199
p45, 384, 214
p46, 281, 162
p47, 264, 314
p48, 256, 302
p49, 221, 285
p50, 197, 275
p51, 179, 338
p52, 161, 325
p53, 378, 280
p54, 362, 267
p55, 530, 364
p56, 535, 353
p57, 589, 448
p58, 691, 456
p59, 698, 427
p60, 716, 430
p61, 723, 446
p62, 687, 503
p63, 674, 525
p64, 652, 523
p65, 645, 539
p66, 659, 309
p67, 716, 340
p68, 524, 150
p69, 476, 258
p70, 241, 269
p71, 284, 409
p72, 272, 409
p73, 204, 367
p74, 231, 371
p75, 381, 424
p76, 466, 471
p77, 338, 96
p78, 349, 78
p79, 409, 132
